,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
96,97,university of sheffield,united kingdom,42.4,81.9,48.8,80.1,43.4,58.6,23311.0,15.5,31%,50:50:00
97,98,queen mary university of london,united kingdom,34.1,93.5,41.3,93.3,36.8,58.5,14260.0,14.0,40%,52:48:00
98,99,university of göttingen,germany,49.3,56.4,54.5,72.7,31.8,58,25581.0,25.6,12%,51:49:00
99,99,michigan state university,usa,47.3,56.4,52.6,76.8,32.2,58,44750.0,15.7,15%,51:49:00
100,101,university of basel,switzerland,39.5,94.7,33.1,88.3,99.9,57.9,12551.0,17.3,24%,54:46:00
101,101,école polytechnique,france,53.5,92.8,44.6,64.7,82.3,57.9,2429.0,4.8,30%,0.806944444
102,101,rice university,usa,37.9,66.6,35.1,99.7,41.7,57.9,6333.0,9.0,26%,44:56:00
103,104,dartmouth college,usa,50.7,38.3,35.8,93.3,40.8,57.8,6178.0,6.6,16%,47:53:00
104,104,university of zurich,switzerland,49.5,90.4,31.5,85.4,44,57.8,26583.0,6.5,19%,57:43:00
105,106,aarhus university,denmark,36.9,76.8,50.7,79.8,68.3,57.7,23895.0,13.6,14%,54:46:00
106,106,"university of california, irvine",usa,39.9,59.2,41.8,91.6,48.9,57.7,26614.0,16.1,16%,52:48:00
107,106,university of mannheim,germany,34.5,64.6,47.7,86.9,85.3,57.7,11761.0,85.8,15%,55:45:00
108,108,university of notre dame,usa,47.6,47.6,48.1,81.7,33.7,57.6,11829.0,13.8,10%,44:56:00
109,109,university of western australia,australia,33.4,92.6,46.1,83.6,64.5,57.5,20851.0,20.7,27%,50:50:00
110,110,rwth aachen university,germany,49.4,54.1,56.3,63.2,98.1,57.2,37917.0,27.6,16%,31 : 69
111,110,university of southampton,united kingdom,39.8,88.4,43.6,82.0,37.5,57.2,20925.0,13.5,29%,53:47:00
112,112,scuola normale superiore di pisa,italy,54.2,46.3,53.1,67.2,52,57.1,462.0,16.5,5%,28 : 72
113,113,university of montreal,canada,46.3,84.2,45.5,69.6,92.6,57,38264.0,20.3,25%,57:43:00
114,113,pierre and marie curie university,france,52.8,74.1,32.7,82.9,37.4,57,27862.0,8.7,18%,48:52:00
115,113,purdue university,usa,50.2,66.4,57.7,63.2,-,57,39256.0,18.1,22%,42:58:00
